Assumed Start Date,Rainfall in mm,Rainfall in m,Julian Day,
1941-01-01,0,0,1,
1941-01-02,0,0,2,
1941-01-03,0,0,3,
1941-01-04,0,0,4,
1941-01-05,0,0,5,
1941-01-06,0,0,6,
1941-01-07,0,0,7,
1941-01-08,0,0,8,
1941-01-09,0,0,9,
1941-01-10,0,0,10,
1941-01-11,10.2,0.0102,11,
1941-01-12,7.1,0.0071,12,
1941-01-13,0,0,13,
1941-01-14,0,0,14,
1941-01-15,0,0,15,
1941-01-16,0,0,16,
1941-01-17,0,0,17,
1941-01-18,0,0,18,
1941-01-19,0,0,19,
1941-01-20,0,0,20,
1941-01-21,7.1,0.0071,21,
1941-01-22,9.7,0.0097,22,
1941-01-23,0,0,23,
1941-01-24,0,0,24,
1941-01-25,0,0,25,
1941-01-26,0,0,26,
1941-01-27,0,0,27,
1941-01-28,0,0,28,
1941-01-29,0,0,29,
1941-01-30,0,0,30,
1941-01-31,0,0,31,
1941-02-01,0,0,32,
1941-02-02,0,0,33,
1941-02-03,0,0,34,
1941-02-04,0,0,35,
1941-02-05,0,0,36,
1941-02-06,0,0,37,
1941-02-07,0,0,38,
1941-02-08,0,0,39,
1941-02-09,0,0,40,
1941-02-10,0,0,41,
1941-02-11,0,0,42,
1941-02-12,0,0,43,
1941-02-13,0,0,44,
1941-02-14,0,0,45,
1941-02-15,0,0,46,
1941-02-16,0,0,47,
1941-02-17,10.7,0.0107,48,
1941-02-18,0,0,49,
1941-02-19,0,0,50,
1941-02-20,0,0,51,
1941-02-21,0,0,52,
1941-02-22,1.8,0.0018,53,
1941-02-23,0,0,54,
1941-02-24,0,0,55,
1941-02-25,0,0,56,
1941-02-26,0,0,57,
1941-02-27,0,0,58,
1941-02-28,0,0,59,
1941-03-01,0,0,60,
1941-03-02,10.2,0.0102,61,
1941-03-03,0,0,62,
1941-03-04,0,0,63,
1941-03-05,0,0,64,
1941-03-06,0,0,65,
1941-03-07,0,0,66,
1941-03-08,0,0,67,
1941-03-09,0,0,68,
1941-03-10,0,0,69,
1941-03-11,0,0,70,
1941-03-12,0,0,71,
1941-03-13,0,0,72,
1941-03-14,0,0,73,
1941-03-15,0,0,74,
1941-03-16,34.3,0.0343,75,
1941-03-17,28.4,0.0284,76,
1941-03-18,0,0,77,
1941-03-19,0,0,78,
1941-03-20,0,0,79,
1941-03-21,0,0,80,
1941-03-22,0,0,81,
1941-03-23,0,0,82,
1941-03-24,0,0,83,
1941-03-25,0,0,84,
1941-03-26,0,0,85,
1941-03-27,0,0,86,
1941-03-28,0,0,87,
1941-03-29,0,0,88,
1941-03-30,0,0,89,
1941-03-31,0,0,90,
1941-04-01,0,0,91,
1941-04-02,0,0,92,
1941-04-03,0,0,93,
1941-04-04,0,0,94,
1941-04-05,0,0,95,
1941-04-06,0,0,96,
1941-04-07,0,0,97,
1941-04-08,0.8,0.0008,98,
1941-04-09,14.5,0.0145,99,
1941-04-10,0,0,100,
1941-04-11,0,0,101,
1941-04-12,1.5,0.0015,102,
1941-04-13,0,0,103,
1941-04-14,0,0,104,
1941-04-15,0,0,105,
1941-04-16,0,0,106,
1941-04-17,0,0,107,
1941-04-18,0,0,108,
1941-04-19,0,0,109,
1941-04-20,0,0,110,
1941-04-21,0,0,111,
1941-04-22,0,0,112,
1941-04-23,0,0,113,
1941-04-24,0,0,114,
1941-04-25,0,0,115,
1941-04-26,11.9,0.0119,116,
1941-04-27,27.7,0.0277,117,
1941-04-28,2.5,0.0025,118,
1941-04-29,0,0,119,
1941-04-30,0,0,120,
1941-05-01,0,0,121,
1941-05-02,0,0,122,
1941-05-03,0,0,123,
1941-05-04,0.8,0.0008,124,
1941-05-05,0,0,125,
1941-05-06,0,0,126,
1941-05-07,0,0,127,
1941-05-08,0,0,128,
1941-05-09,0,0,129,
1941-05-10,0,0,130,
1941-05-11,0,0,131,
1941-05-12,0,0,132,
1941-05-13,0,0,133,
1941-05-14,0,0,134,
1941-05-15,0,0,135,
1941-05-16,0,0,136,
1941-05-17,0,0,137,
1941-05-18,10.4,0.0104,138,
1941-05-19,0,0,139,
1941-05-20,2.5,0.0025,140,
1941-05-21,0,0,141,
1941-05-22,0,0,142,
1941-05-23,0,0,143,
1941-05-24,2.8,0.0028,144,
1941-05-25,0,0,145,
1941-05-26,0,0,146,
1941-05-27,3.8,0.0038,147,
1941-05-28,0,0,148,
1941-05-29,0,0,149,
1941-05-30,0,0,150,
1941-05-31,0,0,151,
1941-06-01,1,0.001,152,
1941-06-02,0,0,153,
1941-06-03,0,0,154,
1941-06-04,0,0,155,
1941-06-05,0,0,156,
1941-06-06,0,0,157,
1941-06-07,1.3,0.0013,158,
1941-06-08,2.5,0.0025,159,
1941-06-09,0,0,160,
1941-06-10,0,0,161,
1941-06-11,0,0,162,
1941-06-12,0,0,163,
1941-06-13,0,0,164,
1941-06-14,0,0,165,
1941-06-15,0,0,166,
1941-06-16,0,0,167,
1941-06-17,0,0,168,
1941-06-18,0,0,169,
1941-06-19,0,0,170,
1941-06-20,0,0,171,
1941-06-21,0,0,172,
1941-06-22,0,0,173,
1941-06-23,0,0,174,
1941-06-24,0,0,175,
1941-06-25,0,0,176,
1941-06-26,0,0,177,
1941-06-27,7.9,0.0079,178,
1941-06-28,0,0,179,
1941-06-29,0,0,180,
1941-06-30,1,0.001,181,
1941-07-01,0,0,182,
1941-07-02,0,0,183,
1941-07-03,0,0,184,
1941-07-04,0,0,185,
1941-07-05,0,0,186,
1941-07-06,0,0,187,
1941-07-07,0,0,188,
1941-07-08,0,0,189,
1941-07-09,0,0,190,
1941-07-10,0,0,191,
1941-07-11,0,0,192,
1941-07-12,0,0,193,
1941-07-13,0,0,194,
1941-07-14,0,0,195,
1941-07-15,0,0,196,
1941-07-16,0,0,197,
1941-07-17,0,0,198,
1941-07-18,0,0,199,
1941-07-19,0,0,200,
1941-07-20,0,0,201,
1941-07-21,0,0,202,
1941-07-22,0,0,203,
1941-07-23,0,0,204,
1941-07-24,0,0,205,
1941-07-25,0,0,206,
1941-07-26,0,0,207,
1941-07-27,0,0,208,
1941-07-28,0,0,209,
1941-07-29,0,0,210,
1941-07-30,0,0,211,
1941-07-31,0,0,212,
1941-08-01,2.8,0.0028,213,
1941-08-02,0,0,214,
1941-08-03,0,0,215,
1941-08-04,0,0,216,
1941-08-05,0,0,217,
1941-08-06,0,0,218,
1941-08-07,0,0,219,
1941-08-08,0,0,220,
1941-08-09,0,0,221,
1941-08-10,0,0,222,
1941-08-11,0,0,223,
1941-08-12,0,0,224,
1941-08-13,0,0,225,
1941-08-14,0,0,226,
1941-08-15,0,0,227,
1941-08-16,0,0,228,
1941-08-17,0,0,229,
1941-08-18,0,0,230,
1941-08-19,0,0,231,
1941-08-20,0,0,232,
1941-08-21,13.7,0.0137,233,
1941-08-22,0,0,234,
1941-08-23,0,0,235,
1941-08-24,0,0,236,
1941-08-25,0,0,237,
1941-08-26,0,0,238,
1941-08-27,37.6,0.0376,239,
1941-08-28,20.3,0.0203,240,
1941-08-29,4.1,0.0041,241,
1941-08-30,1.3,0.0013,242,
1941-08-31,0,0,243,
1941-09-01,0,0,244,
1941-09-02,22.4,0.0224,245,
1941-09-03,0,0,246,
1941-09-04,0,0,247,
1941-09-05,0,0,248,
1941-09-06,10.2,0.0102,249,
1941-09-07,0,0,250,
1941-09-08,116.8,0.1168,251,
1941-09-09,0,0,252,
1941-09-10,0,0,253,
1941-09-11,38.9,0.0389,254,
1941-09-12,0,0,255,
1941-09-13,0,0,256,
1941-09-14,0,0,257,
1941-09-15,0,0,258,
1941-09-16,0,0,259,
1941-09-17,12.7,0.0127,260,
1941-09-18,0,0,261,
1941-09-19,0,0,262,
1941-09-20,0,0,263,
1941-09-21,0,0,264,
1941-09-22,0,0,265,
1941-09-23,0,0,266,
1941-09-24,0,0,267,
1941-09-25,0,0,268,
1941-09-26,42.2,0.0422,269,
1941-09-27,24.4,0.0244,270,
1941-09-28,8.6,0.0086,271,
1941-09-29,16.3,0.0163,272,
1941-09-30,10.4,0.0104,273,
1941-10-01,0,0,274,
1941-10-02,55.1,0.0551,275,
1941-10-03,30.5,0.0305,276,
1941-10-04,0,0,277,
1941-10-05,4.8,0.0048,278,
1941-10-06,10.7,0.0107,279,
1941-10-07,0,0,280,
1941-10-08,0,0,281,
1941-10-09,0,0,282,
1941-10-10,2.3,0.0023,283,
1941-10-11,0,0,284,
1941-10-12,0,0,285,
1941-10-13,6.6,0.0066,286,
1941-10-14,0,0,287,
1941-10-15,3,0.003,288,
1941-10-16,0,0,289,
1941-10-17,0,0,290,
1941-10-18,0,0,291,
1941-10-19,0,0,292,
1941-10-20,0,0,293,
1941-10-21,0,0,294,
1941-10-22,0,0,295,
1941-10-23,0,0,296,
1941-10-24,22.9,0.0229,297,
1941-10-25,0,0,298,
1941-10-26,23.9,0.0239,299,
1941-10-27,19.3,0.0193,300,
1941-10-28,38.9,0.0389,301,
1941-10-29,0,0,302,
1941-10-30,0,0,303,
1941-10-31,0,0,304,
1941-11-01,0,0,305,
1941-11-02,2.5,0.0025,306,
1941-11-03,6.9,0.0069,307,
1941-11-04,0,0,308,
1941-11-05,0,0,309,
1941-11-06,0.5,0.0005,310,
1941-11-07,0,0,311,
1941-11-08,117.3,0.1173,312,
1941-11-09,2.3,0.0023,313,
1941-11-10,4.8,0.0048,314,
1941-11-11,0,0,315,
1941-11-12,0,0,316,
1941-11-13,11.2,0.0112,317,
1941-11-14,4.8,0.0048,318,
1941-11-15,0.5,0.0005,319,
1941-11-16,0,0,320,
1941-11-17,0,0,321,
1941-11-18,27.4,0.0274,322,
1941-11-19,0,0,323,
1941-11-20,2.8,0.0028,324,
1941-11-21,0,0,325,
1941-11-22,0,0,326,189.1
1941-11-23,3.8,0.0038,327,
1941-11-24,4.3,0.0043,328,
1941-11-25,0,0,329,
1941-11-26,0,0,330,
1941-11-27,0,0,331,
1941-11-28,0,0,332,
1941-11-29,0,0,333,
1941-11-30,0,0,334,
1941-12-01,0,0,335,
1941-12-02,2.5,0.0025,336,
1941-12-03,0,0,337,
1941-12-04,0,0,338,
1941-12-05,0,0,339,
1941-12-06,0,0,340,
1941-12-07,1.5,0.0015,341,
1941-12-08,0.8,0.0008,342,
1941-12-09,23.6,0.0236,343,
1941-12-10,0,0,344,
1941-12-11,6.4,0.0064,345,
1941-12-12,0,0,346,
1941-12-13,0,0,347,
