Date,T1_stage(m),Sluice
2013-09-15,0,0
2013-09-16,0,0
2013-09-17,0,0
2013-09-18,0,0
2013-09-19,0,0
2013-09-20,0,0
2013-09-21,0,0
2013-09-22,0,0
2013-09-23,0,0
2013-09-24,0,0
2013-09-25,0,0
2013-09-26,0,0
2013-09-27,0,0
2013-09-28,0,0
2013-09-29,0,0
2013-09-30,0,0
2013-10-01,0,0
2013-10-02,0,0
2013-10-03,0,0
2013-10-04,0,0
2013-10-05,0,0
2013-10-06,0,0
2013-10-07,0,0
2013-10-08,0,0
2013-10-09,0,0
2013-10-10,0,0
2013-10-11,0,0
2013-10-12,0,0
2013-10-13,0,0
2013-10-14,0,0
2013-10-15,0,2747.655009
2013-10-16,0,2747.655009
2013-10-17,3.0015,2752.3273
2013-10-18,3.0295,3625.027652
2013-10-19,3.1842,3717.530583
2013-10-20,3.1727,3922.644828
2013-10-21,3.132,3892.315442
2013-10-22,3.0869,3820.738841
2013-10-23,3.0422,3743.488806
2013-10-24,2.9996,3667.54352
2013-10-25,2.9609,3595.984369
2013-10-26,2.9154,3526.752074
2013-10-27,2.8776,3451.783175
2013-10-28,2.8401,3386.992751
2013-10-29,2.799,3320.972849
2013-10-30,2.7607,3251.551087
2013-10-31,2.7228,3186.025384
2013-11-01,2.6961,3125.986613
2013-11-02,2.6589,3075.212672
2013-11-03,2.6247,3012.732219
2013-11-04,2.5903,2953.89202
2013-11-05,2.6102,2920.721007
2013-11-06,2.6013,2941.261715
2013-11-07,2.5659,2913.247265
2013-11-08,2.5319,2853.055853
2013-11-09,2.4994,2795.473202
2013-11-10,2.4632,2737.670178
2013-11-11,2.4248,2674.278695
2013-11-12,2.3878,2608.94665
2013-11-13,2.3529,2546.444858
2013-11-14,2.3233,2489.326054
2013-11-15,2.282,2431.782361
2013-11-16,2.2373,2358.665876
2013-11-17,2.1917,2281.0333
2013-11-18,2.2557,2266.472771
2013-11-19,2.2131,2314.511059
2013-11-20,2.1686,2239.936085
2013-11-21,2.1246,2163.50813
2013-11-22,2.0702,2080.775083
2013-11-23,2.0151,1986.093437
2013-11-24,1.9673,1895.695071
2013-11-25,1.919,1812.65597
2013-11-26,1.874,1731.404093
2013-11-27,1.8368,1659.351449
2013-11-28,1.7995,1594.970394
2013-11-29,1.7633,1531.357011
2013-11-30,1.7149,1458.807627
2013-12-01,1.672,1379.400879
2013-12-02,1.6387,1313.228004
2013-12-03,1.6299,1277.012407
2013-12-04,1.598,1241.641262
2013-12-05,1.5672,1187.414388
2013-12-06,1.5351,1132.873783
2013-12-07,1.5037,1077.981093
2013-12-08,1.4761,1027.354977
2013-12-09,1.4484,979.4184972
2013-12-10,1.4215,932.2811365
2013-12-11,1.3945,885.5883991
2013-12-12,1.3708,842.3189271
2013-12-13,1.3671,822.6579867
2013-12-14,1.3746,827.9972755
2013-12-15,1.3461,802.6094265
2013-12-16,1.3168,752.29819
2013-12-17,1.2878,701.6246484
2013-12-18,1.26,652.5500856
2013-12-19,1.231,602.798287
2013-12-20,1.2058,557.0060156
2013-12-21,1.1813,514.112373
2013-12-22,1.1559,479.0714213
2013-12-23,1.1295,445.6095454
2013-12-24,1.1028,411.469904
2013-12-25,1.0784,379.2740876
2013-12-26,1.0514,345.4773766
2013-12-27,1.021,307.3794599
2013-12-28,0.9923,269.7417712
2013-12-29,0.9659,234.9512636
2013-12-30,0.9469,208.6332289
2013-12-31,0.9273,183.5714703
2014-01-01,0.9068,157.4544742
2014-01-02,0.886,130.6474446
2014-01-03,0.8563,93.2955276
2014-01-04,0.8282,56.5103887
2014-01-05,0.7945,12.52138156
2014-01-06,0.7652,0
2014-01-07,0.7433,0
2014-01-08,0.7264,0
2014-01-09,0.7216,0
2014-01-10,0.7044,0
2014-01-11,0.6817,0
2014-01-12,0.6577,0
2014-01-13,0.6123,0
2014-01-14,0.5366,0
2014-01-15,0.4549,0
2014-01-16,0.4064,0
2014-01-17,0.3095,0
2014-01-18,0.2128,0
2014-01-19,0.2114,0
2014-01-20,0.2053,0
2014-01-21,0,0
2014-01-22,0,0
2014-01-23,0,0
2014-01-24,0,0
2014-01-25,0,0
2014-01-26,0,0
2014-01-27,0,0
2014-01-28,0,0
2014-01-29,0,0
2014-01-30,0,0
2014-01-31,0,0
2014-02-01,0,0
2014-02-02,0,0
2014-02-03,0,0
2014-02-04,0,0
2014-02-05,0,0
2014-02-06,0,0
2014-02-07,0,0
2014-02-08,0,0
2014-02-09,0,0
2014-02-10,0,0
2014-02-11,0,0
2014-02-12,0,0
2014-02-13,0,0
2014-02-14,0,0
2014-02-15,0,0
2014-02-16,0,0
2014-02-17,0,0
2014-02-18,0,0
2014-02-19,0,0
2014-02-20,0,0
2014-02-21,0,0
2014-02-22,0,0
2014-02-23,0,0
2014-02-24,0,0
2014-02-25,0,0
2014-02-26,0,0
2014-02-27,0,0
2014-02-28,0,0
2014-03-01,0,0
2014-03-02,0,0
2014-03-03,0,0
2014-03-04,0,0
2014-03-05,0,0
2014-03-06,0,0
2014-03-07,0,0
