Date,Tank 1,Tank 2,Tank 3,Tank 4,Rainfall
2013-09-30,0,0,0,0,0
2013-10-01,0,0,0,0,0
2013-10-02,0,0,0,0,0
2013-10-03,0,0,0,0,0
2013-10-04,0,0,0,0,0
2013-10-05,0,0,0,0,0
2013-10-06,0,0,0,0,0
2013-10-07,0,0,0,0,0
2013-10-08,0,0,0,0,0
2013-10-09,0,0,0,0,0
2013-10-10,0,0,0,0,0
2013-10-11,0,0,0,0,0
2013-10-12,0,0,0,0,0
2013-10-13,0,0,0,0,0
2013-10-14,0,0,0,0,0
2013-10-15,0,0.62,0.17,0.26,127.8
2013-10-16,2.3426,2.964,3.153,2.878,2.34
2013-10-17,3.0015,3.179,3.403,3.144,11.4
2013-10-18,3.0295,3.277,3.596,3.204,24.05
2013-10-19,3.1842,3.335,3.717,3.275,25.75
2013-10-20,3.1727,3.403,3.974,3.4,2
2013-10-21,3.132,3.423,4.071,3.206,10.47
2013-10-22,3.0869,3.409,4.037,3.215,0
2013-10-23,3.0422,3.391,3.987,3.18,0
2013-10-24,2.9996,3.372,3.936,3.149,0
2013-10-25,2.9609,3.351,3.883,3.13,0
2013-10-26,2.9154,3.332,3.828,3.12,0
2013-10-27,2.8776,3.313,3.789,3.098,0
2013-10-28,2.8401,3.292,3.736,3.074,0
2013-10-29,2.799,3.273,3.689,3.048,0
2013-10-30,2.7607,3.253,3.661,3.03,0
2013-10-31,2.7228,3.233,3.616,3.012,2.07
2013-11-01,2.6961,3.214,3.565,2.994,0.1
2013-11-02,2.6589,3.195,3.514,2.973,2.1
2013-11-03,2.6247,3.178,3.482,2.956,0.4
2013-11-04,2.5903,3.16,3.447,2.937,22.5
2013-11-05,2.6102,3.168,3.445,2.95,4.75
2013-11-06,2.6013,3.169,3.421,2.94,0.3
2013-11-07,2.5659,3.147,3.386,2.919,0
2013-11-08,2.5319,3.131,3.348,2.897,0
2013-11-09,2.4994,3.11,3.307,2.872,0
2013-11-10,2.4632,3.092,3.269,2.849,0
2013-11-11,2.4248,3.071,3.228,2.822,0
2013-11-12,2.3878,3.05,3.186,2.783,0
2013-11-13,2.3529,3.027,3.152,2.76,4
2013-11-14,2.3233,3.006,3.121,2.741,0
2013-11-15,2.282,2.981,3.083,2.717,0
2013-11-16,2.2373,2.956,3.042,2.681,0.05
2013-11-17,2.1917,2.929,3.001,2.643,63.6
2013-11-18,2.2557,3.231,3.786,3.159,0
2013-11-19,2.2131,3.212,3.779,3.141,0
2013-11-20,2.1686,3.192,3.741,3.118,0
2013-11-21,2.1246,3.171,3.701,3.093,0
2013-11-22,2.0702,3.149,3.66,3.068,0
2013-11-23,2.0151,3.125,3.622,3.042,0
2013-11-24,1.9673,3.105,3.581,3.016,0
2013-11-25,1.919,3.082,3.54,2.991,0
2013-11-26,1.874,3.054,3.5,2.967,0
2013-11-27,1.8368,3.025,3.464,2.941,0
2013-11-28,1.7995,2.997,3.418,2.914,0
2013-11-29,1.7633,2.972,3.374,2.887,0
2013-11-30,1.7149,2.95,3.34,2.86,0.55
2013-12-01,1.672,2.924,3.312,2.834,2.45
2013-12-02,1.6387,2.901,3.276,2.808,15.1
2013-12-03,1.6299,2.896,3.262,2.798,1.95
2013-12-04,1.598,2.876,3.234,2.776,0
2013-12-05,1.5672,2.848,3.203,2.751,0
2013-12-06,1.5351,2.818,3.166,2.72,0
2013-12-07,1.5037,2.78,3.126,2.683,0
2013-12-08,1.4761,2.745,3.096,2.647,1.65
2013-12-09,1.4484,2.711,3.07,2.611,0.1
2013-12-10,1.4215,2.675,3.031,2.576,0.95
2013-12-11,1.3945,2.635,2.996,2.54,0
2013-12-12,1.3708,2.592,2.954,2.502,0
2013-12-13,1.3671,2.589,2.946,2.499,0
2013-12-14,1.3746,2.622,2.959,2.522,0.5
2013-12-15,1.3461,2.597,2.94,2.5,0
2013-12-16,1.3168,2.575,2.909,2.475,0
2013-12-17,1.2878,2.554,2.882,2.445,0
2013-12-18,1.26,2.527,2.845,2.407,0
2013-12-19,1.231,2.495,2.807,2.37,0
2013-12-20,1.2058,2.457,2.766,2.315,0
2013-12-21,1.1813,2.426,2.722,2.23,0
2013-12-22,1.1559,2.394,2.678,2.145,0
2013-12-23,1.1295,2.351,2.645,2.076,0
2013-12-24,1.1028,2.312,2.613,2.023,0
2013-12-25,1.0784,2.277,2.578,1.977,0
2013-12-26,1.0514,2.242,2.545,1.946,0
2013-12-27,1.021,2.206,2.508,1.926,0
2013-12-28,0.9923,2.17,2.469,1.907,0
2013-12-29,0.9659,2.128,2.43,1.889,0
2013-12-30,0.9469,2.089,2.393,1.855,0
2013-12-31,0.9273,2.049,2.35,1.816,0
2014-01-01,0.9068,2.005,2.302,1.779,0.3
2014-01-02,0.886,1.981,2.27,1.745,0
2014-01-03,0.8563,1.958,2.24,1.718,0
2014-01-04,0.8282,1.936,2.212,1.693,0
2014-01-05,0.7945,1.911,2.183,1.674,0
2014-01-06,0.7652,1.888,2.153,1.654,0
2014-01-07,0.7433,1.869,2.122,1.634,0
2014-01-08,0.7264,1.649,2.098,1.617,0
2014-01-09,0.7216,1.807,2.081,1.614,0
2014-01-10,0.7044,1.8,2.056,1.597,0
2014-01-11,0.6817,1.773,2.029,1.58,0
2014-01-12,0.6577,1.165,2,1.564,0
2014-01-13,0.6123,1.118,1.972,1.547,0
2014-01-14,0.5366,1.091,1.945,1.529,0
2014-01-15,0.4549,1.093,1.92,1.511,0
2014-01-16,0.4064,1.097,1.891,1.492,0
